Layers,Neurons,Train data,Error Train,Error Test,Pre-trained
2,200,1000,14.766666666666667,14.52,False
2,200,3000,10.656666666666666,10.8,False
2,200,7000,7.313333333333333,7.8100000000000005,False
2,200,10000,5.681666666666667,6.59,False
2,200,30000,1.8450000000000002,3.29,False
1,200,60000,0.0,2.22,False
2,100,60000,0.0,2.5,False
2,200,60000,0.0,2.48,False
2,300,60000,0.0,2.27,False
2,400,60000,0.0,2.39,False
2,500,60000,0.0,2.34,False
2,600,60000,0.0,2.25,False
2,700,60000,0.0,2.42,False
3,200,60000,0.0,2.56,False
4,200,60000,0.0,2.6599999999999997,False
5,200,60000,90.07,89.68,False
2,200,1000,71.44666666666667,70.98,True
2,200,3000,56.638333333333335,56.08,True
2,200,7000,31.374999999999996,31.28,True
2,200,10000,18.971666666666668,18.82,True
2,200,30000,21.806666666666665,21.16,True
1,200,60000,12.858333333333333,13.389999999999999,True
2,100,60000,15.7,16.85,True
2,200,60000,13.761666666666667,15.47,True
2,300,60000,17.46,17.740000000000002,True
2,400,60000,12.016666666666667,13.16,True
2,500,60000,10.155,11.690000000000001,True
2,600,60000,9.831666666666667,10.61,True
2,700,60000,9.49,11.020000000000001,True
3,200,60000,20.60666666666667,21.51,True
4,200,60000,24.268333333333334,24.68,True
5,200,60000,88.76333333333334,88.64999999999999,True
