Layers,Neurons,Train data,Error Train,Error Test,Pre-trained
2,200,1000,14.696666666666665,14.46,False
2,200,3000,10.801666666666666,10.85,False
2,200,7000,7.539999999999999,8.07,False
2,200,10000,5.948333333333333,6.8500000000000005,False
2,200,30000,1.9016666666666668,3.4099999999999997,False
1,200,60000,0.028333333333333335,2.29,False
2,100,60000,0.0,2.5700000000000003,False
2,200,60000,0.0,2.5700000000000003,False
2,300,60000,0.0,2.34,False
2,400,60000,0.0,2.41,False
2,500,60000,0.0,2.42,False
2,600,60000,0.0,2.31,False
2,700,60000,0.0,2.36,False
3,200,60000,0.0,2.54,False
4,200,60000,0.0,2.92,False
5,200,60000,0.0,3.47,False
2,200,1000,12.381666666666668,12.17,True
2,200,3000,7.893333333333333,8.03,True
2,200,7000,5.166666666666667,5.43,True
2,200,10000,4.086666666666667,4.35,True
2,200,30000,1.7633333333333334,2.7,True
1,200,60000,0.43833333333333335,3.1300000000000003,True
2,100,60000,0.8566666666666667,3.15,True
2,200,60000,0.2783333333333333,2.32,True
2,300,60000,0.16666666666666669,1.71,True
2,400,60000,0.12833333333333333,1.68,True
2,500,60000,0.09333333333333334,1.6,True
2,600,60000,0.08,1.52,True
2,700,60000,0.07166666666666667,1.6400000000000001,True
3,200,60000,0.2816666666666667,1.87,True
4,200,60000,0.3433333333333333,1.96,True
5,200,60000,0.42166666666666663,2.32,True
